PHONEME,CLASS,VOICE,ARTICULATOR,AIRSTREAM MECHANISM
AA,VOWEL,,,
AE,VOWEL,,,
AH,VOWEL,,,
AO,VOWEL,,,
AW,VOWEL,,,
AY,VOWEL,,,
B,STOP,VOICED,BILABIAL,PLOSIVE
CH,AFFRICATE,VOICELESS,POSTALVEOLAR,AFFRICATE
D,STOP,VOICED,ALVEOLAR,PLOSIVE
DH,FRICATIVE,VOICED ,DENTAL ,FRICATIVE
EH,VOWEL ,,,
ER,VOWEL,,,
EY,VOWEL,,,
F,FRICATIVE,VOICELESS,LABIO-DENTAL,FRICATIVE
G,STOP,VOICED ,VELAR ,PLOSIVE
HH,ASPIRATE,VOICELESS,GLOTTAL ,FRICATIVE
IH,VOWEL,,,
IY,VOWEL,,,
JH,AFFRICATE,VOICED ,POSTALVEOLAR,AFFRICATE
K,STOP,VOICELESS,VELAR ,PLOSIVE
L,LIQUID,VOICED ,ALVEOLAR,LATERAL APPROXIMANT
M,NASAL,VOICED,BILABIAL,NASAL
N,NASAL,VOICED,ALVEOLAR,NASAL
NG,NASAL,VOICED,VELAR ,NASAL
OW,VOWEL,,,
OY,VOWEL,,,
P,STOP,VOICELESS,BILABIAL,PLOSIVE
R,LIQUID,VOICED,ALVEOLAR,CENTRAL APPROXIMANT
S,FRICATIVE,VOICELESS,ALVEOLAR,FRICATIVE
SH,FRICATIVE,VOICELESS,POSTALVEOLAR,FRICATIVE
T,STOP,VOICELESS,ALVEOLAR,PLOSIVE
TH,FRICATIVE,VOICELESS,DENTAL ,FRICATIVE
UH,VOWEL,,,
UW,VOWEL,,,
V,FRICATIVE,VOICED,LABIO-DENTAL,FRICATIVE
W,SEMIVOWEL,VOICED ,LABIAL-VELAR,APPOXIMANT
Y,SEMIVOWEL,VOICED,PALATIAL ,APPROXIMANT
Z,FRICATIVE,VOICED ,ALVEOLAR,FRICATIVE
ZH,FRICATIVE,VOICED,POSTALVEOLAR,FRICATIVE
